Year,Month,County,Rainfall (mm)
2015,June,Gwynedd,111.1
2015,June,Conwy,205.3
2015,June,Powys,242.3
2015,June,Carmarthenshire,59.2
2015,June,Pembrokeshire,84.1
2015,June,Ceredigion,83.6
2015,July,Cardiff,192.4
2015,July,Swansea,99.2
2015,July,Newport,55.7
2015,July,Wrexham,220.6
2015,July,Flintshire,62.6
2015,July,Denbighshire,211.0
2015,July,Gwynedd,156.8
2015,July,Conwy,238.9
2015,July,Powys,170.8
2015,July,Carmarthenshire,115.5
2015,July,Pembrokeshire,232.3
2015,July,Ceredigion,209.1
2015,August,Cardiff,60.5
2015,August,Swansea,213.2
2015,August,Newport,209.8
2015,August,Wrexham,144.9
2015,August,Flintshire,83.1
2015,August,Denbighshire,243.8
2015,August,Gwynedd,169.6
2015,August,Conwy,210.3
2015,August,Powys,103.5
2015,August,Carmarthenshire,212.2
2015,August,Pembrokeshire,99.7
2015,August,Ceredigion,196.2
2015,September,Cardiff,112.3
2015,September,Swansea,233.5
2015,September,Newport,98.5
2015,September,Wrexham,138.4
2015,September,Flintshire,77.1
2015,September,Denbighshire,172.5
2015,September,Gwynedd,245.9
2015,September,Conwy,102.8
2015,September,Powys,63.6
2015,September,Carmarthenshire,97.2
2015,September,Pembrokeshire,225.9
2015,September,Ceredigion,237.6
2015,October,Cardiff,212.5
2015,October,Swansea,183.0
2015,October,Newport,60.8
2015,October,Wrexham,215.5
2015,October,Flintshire,220.5
2015,October,Denbighshire,159.1
2015,October,Gwynedd,153.0
2015,October,Conwy,77.3
2015,October,Powys,158.9
2015,October,Carmarthenshire,74.9
2015,October,Pembrokeshire,107.8
2015,October,Ceredigion,195.8
2015,November,Cardiff,191.0
2015,November,Swansea,121.3
2015,November,Newport,233.4
2015,November,Wrexham,82.9
2015,November,Flintshire,166.0
2015,November,Denbighshire,150.2
2015,November,Gwynedd,206.5
2015,November,Conwy,165.2
2015,November,Powys,85.2
2015,November,Carmarthenshire,146.0
2015,November,Pembrokeshire,217.7
2015,November,Ceredigion,136.2
2015,December,Cardiff,160.9
2015,December,Swansea,223.1
2015,December,Newport,77.0
2015,December,Wrexham,219.7
2015,December,Flintshire,119.8
2015,December,Denbighshire,224.8
2015,December,Gwynedd,236.9
2015,December,Conwy,138.1
2015,December,Powys,67.4
2015,December,Carmarthenshire,120.4
2015,December,Pembrokeshire,235.4
2015,December,Ceredigion,242.7
2016,January,Cardiff,205.7
2016,January,Swansea,52.1
2016,January,Newport,100.3
2016,January,Wrexham,228.9
2016,January,Flintshire,192.3
2016,January,Denbighshire,93.8
2016,January,Gwynedd,59.8
2016,January,Conwy,145.0
2016,January,Powys,219.7
2016,January,Carmarthenshire,124.1
2016,January,Pembrokeshire,107.1
2016,January,Ceredigion,58.5
2016,February,Cardiff,82.6
2016,February,Swansea,203.9
2016,February,Newport,171.0
2016,February,Wrexham,58.6
2016,February,Flintshire,104.2
2016,February,Denbighshire,238.7
2016,February,Gwynedd,226.4
2016,February,Conwy,232.1
2016,February,Powys,244.2
2016,February,Carmarthenshire,97.0
2016,February,Pembrokeshire,85.6
2016,February,Ceredigion,55.1
2016,March,Cardiff,185.8
2016,March,Swansea,203.2
2016,March,Newport,232.8
2016,March,Wrexham,234.1
2016,March,Flintshire,217.4
2016,March,Denbighshire,216.6
2016,March,Gwynedd,140.7
2016,March,Conwy,189.4
2016,March,Powys,100.1
2016,March,Carmarthenshire,233.5
2016,March,Pembrokeshire,232.4
2016,March,Ceredigion,87.8
2016,April,Cardiff,59.6
2016,April,Swansea,223.5
2016,April,Newport,174.0
2016,April,Wrexham,220.9
2016,April,Flintshire,63.6
2016,April,Denbighshire,120.3
2016,April,Gwynedd,201.1
2016,April,Conwy,95.1
2016,April,Powys,166.0
2016,April,Carmarthenshire,173.4
2016,April,Pembrokeshire,123.0
2016,April,Ceredigion,173.1
2016,May,Cardiff,248.5
2016,May,Swansea,197.8
2016,May,Newport,205.8
2016,May,Wrexham,104.4
2016,May,Flintshire,177.2
2016,May,Denbighshire,56.9
2016,May,Gwynedd,231.6
2016,May,Conwy,154.3
2016,May,Powys,58.6
2016,May,Carmarthenshire,240.2
2016,May,Pembrokeshire,235.7
2016,May,Ceredigion,104.9
2016,June,Cardiff,209.5
2016,June,Swansea,243.6
2016,June,Newport,93.2
2016,June,Wrexham,140.3
2016,June,Flintshire,195.3
2016,June,Denbighshire,249.7
2016,June,Gwynedd,248.4
2016,June,Conwy,80.3
2016,June,Powys,197.0
2016,June,Carmarthenshire,74.5
2016,June,Pembrokeshire,158.8
2016,June,Ceredigion,193.2
2016,July,Cardiff,119.8
2016,July,Swansea,202.5
2016,July,Newport,209.2
2016,July,Wrexham,126.6
2016,July,Flintshire,137.5
2016,July,Denbighshire,129.2
2016,July,Gwynedd,198.3
2016,July,Conwy,52.5
2016,July,Powys,224.0
2016,July,Carmarthenshire,237.4
2016,July,Pembrokeshire,151.2
2016,July,Ceredigion,165.2
2016,August,Cardiff,182.8
2016,August,Swansea,236.0
2016,August,Newport,214.1
2016,August,Wrexham,249.5
2016,August,Flintshire,191.4
2016,August,Denbighshire,92.2
2016,August,Gwynedd,75.8
2016,August,Conwy,56.8
2016,August,Powys,101.7
2016,August,Carmarthenshire,151.7
2016,August,Pembrokeshire,217.6
2016,August,Ceredigion,77.0
2016,September,Cardiff,203.9
2016,September,Swansea,220.7
2016,September,Newport,225.7
2016,September,Wrexham,63.5
2016,September,Flintshire,111.9
2016,September,Denbighshire,233.9
2016,September,Gwynedd,130.0
2016,September,Conwy,204.4
2016,September,Powys,123.4
2016,September,Carmarthenshire,64.9
2016,September,Pembrokeshire,133.6
2016,September,Ceredigion,141.8
2016,October,Cardiff,59.4
2016,October,Swansea,62.4
2016,October,Newport,125.8
2016,October,Wrexham,77.5
2016,October,Flintshire,229.2
2016,October,Denbighshire,80.5
2016,October,Gwynedd,164.4
2016,October,Conwy,185.4
2016,October,Powys,228.0
2016,October,Carmarthenshire,183.9
2016,October,Pembrokeshire,118.8
2016,October,Ceredigion,233.6
2016,November,Cardiff,119.7
2016,November,Swansea,212.8
2016,November,Newport,246.5
2016,November,Wrexham,176.8
2016,November,Flintshire,242.2
2016,November,Denbighshire,130.6
2016,November,Gwynedd,130.4
2016,November,Conwy,150.0
2016,November,Powys,195.7
2016,November,Carmarthenshire,166.1
2016,November,Pembrokeshire,102.0
2016,November,Ceredigion,180.0
2016,December,Cardiff,126.3
2016,December,Swansea,193.1
2016,December,Newport,102.2
2016,December,Wrexham,79.6
2016,December,Flintshire,242.4
2016,December,Denbighshire,74.4
2016,December,Gwynedd,168.2
2016,December,Conwy,162.1
2016,December,Powys,161.8
2016,December,Carmarthenshire,179.0
2016,December,Pembrokeshire,72.8
2016,December,Ceredigion,240.7
2017,January,Cardiff,79.4
2017,January,Swansea,51.1
2017,January,Newport,64.8
2017,January,Wrexham,190.2
2017,January,Flintshire,77.4
2017,January,Denbighshire,133.1
2017,January,Gwynedd,85.5
2017,January,Conwy,213.6
2017,January,Powys,135.8
2017,January,Carmarthenshire,134.0
2017,January,Pembrokeshire,104.5
2017,January,Ceredigion,236.4
2017,February,Cardiff,221.1
2017,February,Swansea,63.7
2017,February,Newport,137.6
2017,February,Wrexham,72.5
2017,February,Flintshire,127.2
2017,February,Denbighshire,117.8
2017,February,Gwynedd,84.7
2017,February,Conwy,159.4
2017,February,Powys,73.4
2017,February,Carmarthenshire,217.7
2017,February,Pembrokeshire,204.9
2017,February,Ceredigion,145.5
2017,March,Cardiff,208.9
2017,March,Swansea,144.7
2017,March,Newport,105.7
2017,March,Wrexham,126.3
2017,March,Flintshire,176.4
2017,March,Denbighshire,189.0
2017,March,Gwynedd,211.7
2017,March,Conwy,133.4
2017,March,Powys,216.6
2017,March,Carmarthenshire,66.0
2017,March,Pembrokeshire,193.7
2017,March,Ceredigion,164.8
2017,April,Cardiff,240.3
2017,April,Swansea,207.9
2017,April,Newport,53.4
2017,April,Wrexham,165.5
2017,April,Flintshire,105.9
2017,April,Denbighshire,210.7
2017,April,Gwynedd,227.7
2017,April,Conwy,75.1
2017,April,Powys,116.4
2017,April,Carmarthenshire,98.0
2017,April,Pembrokeshire,101.1
2017,April,Ceredigion,187.7
2017,May,Cardiff,77.0
2017,May,Swansea,90.0
2017,May,Newport,125.5
2017,May,Wrexham,51.5
2017,May,Flintshire,134.4
2017,May,Denbighshire,247.4
2017,May,Gwynedd,181.6
2017,May,Conwy,64.9
2017,May,Powys,65.2
2017,May,Carmarthenshire,117.0
2017,May,Pembrokeshire,93.6
2017,May,Ceredigion,121.9
2017,June,Cardiff,100.0
2017,June,Swansea,151.2
2017,June,Newport,143.2
2017,June,Wrexham,100.1
2017,June,Flintshire,80.0
2017,June,Denbighshire,77.8
2017,June,Gwynedd,104.4
2017,June,Conwy,66.0
2017,June,Powys,175.3
2017,June,Carmarthenshire,78.9
2017,June,Pembrokeshire,116.7
2017,June,Ceredigion,249.1
2017,July,Cardiff,102.9
2017,July,Swansea,139.7
2017,July,Newport,212.6
2017,July,Wrexham,113.7
2017,July,Flintshire,108.3
2017,July,Denbighshire,238.7
2017,July,Gwynedd,51.3
2017,July,Conwy,136.8
2017,July,Powys,109.8
2017,July,Carmarthenshire,137.7
2017,July,Pembrokeshire,80.3
2017,July,Ceredigion,241.5
2017,August,Cardiff,248.9
2017,August,Swansea,150.1
2017,August,Newport,114.0
2017,August,Wrexham,195.2
2017,August,Flintshire,172.1
2017,August,Denbighshire,74.1
2017,August,Gwynedd,168.0
2017,August,Conwy,117.7
2017,August,Powys,135.8
2017,August,Carmarthenshire,227.1
2017,August,Pembrokeshire,136.3
2017,August,Ceredigion,236.6
2017,September,Cardiff,122.6
2017,September,Swansea,103.9
2017,September,Newport,248.4
2017,September,Wrexham,99.1
2017,September,Flintshire,124.7
2017,September,Denbighshire,78.8
2017,September,Gwynedd,179.9
2017,September,Conwy,60.1
2017,September,Powys,178.8
2017,September,Carmarthenshire,192.8
2017,September,Pembrokeshire,217.1
2017,September,Ceredigion,91.9
2017,October,Cardiff,156.3
2017,October,Swansea,176.9
2017,October,Newport,94.0
2017,October,Wrexham,188.6
2017,October,Flintshire,148.9
2017,October,Denbighshire,78.3
2017,October,Gwynedd,168.2
2017,October,Conwy,183.1
2017,October,Powys,228.2
2017,October,Carmarthenshire,53.9
2017,October,Pembrokeshire,79.8
2017,October,Ceredigion,238.8
2017,November,Cardiff,249.1
2017,November,Swansea,146.4
2017,November,Newport,210.3
2017,November,Wrexham,208.5
2017,November,Flintshire,196.3
2017,November,Denbighshire,97.4
2017,November,Gwynedd,79.1
2017,November,Conwy,211.2
2017,November,Powys,206.2
2017,November,Carmarthenshire,225.2
2017,November,Pembrokeshire,173.3
2017,November,Ceredigion,181.5
2017,December,Cardiff,98.3
2017,December,Swansea,193.5
2017,December,Newport,105.8
2017,December,Wrexham,243.1
2017,December,Flintshire,199.2
2017,December,Denbighshire,80.9
2017,December,Gwynedd,145.9
2017,December,Conwy,147.1
2017,December,Powys,176.7
2017,December,Carmarthenshire,53.8
2017,December,Pembrokeshire,124.9
2017,December,Ceredigion,146.7
2018,January,Cardiff,120.1
2018,January,Swansea,81.0
2018,January,Newport,114.2
2018,January,Wrexham,127.8
2018,January,Flintshire,150.2
2018,January,Denbighshire,193.2
2018,January,Gwynedd,120.4
2018,January,Conwy,110.9
2018,January,Powys,232.4
2018,January,Carmarthenshire,170.1
2018,January,Pembrokeshire,214.9
2018,January,Ceredigion,94.8
2018,February,Cardiff,135.0
2018,February,Swansea,74.6
2018,February,Newport,211.4
2018,February,Wrexham,197.4
2018,February,Flintshire,206.6
2018,February,Denbighshire,233.7
2018,February,Gwynedd,184.1
2018,February,Conwy,155.0
2018,February,Powys,113.8
2018,February,Carmarthenshire,134.9
2018,February,Pembrokeshire,54.0
2018,February,Ceredigion,177.3
2018,March,Cardiff,85.7
2018,March,Swansea,225.3
2018,March,Newport,137.4
2018,March,Wrexham,75.0
2018,March,Flintshire,144.6
2018,March,Denbighshire,176.8
2018,March,Gwynedd,156.8
2018,March,Conwy,115.2
2018,March,Powys,187.6
2018,March,Carmarthenshire,140.3
2018,March,Pembrokeshire,163.9
2018,March,Ceredigion,61.3
2018,April,Cardiff,249.6
2018,April,Swansea,93.8
2018,April,Newport,65.0
2018,April,Wrexham,239.5
2018,April,Flintshire,86.1
2018,April,Denbighshire,247.1
2018,April,Gwynedd,196.3
2018,April,Conwy,124.0
2018,April,Powys,221.9
2018,April,Carmarthenshire,54.1
2018,April,Pembrokeshire,231.6
2018,April,Ceredigion,192.9
2018,May,Cardiff,170.7
2018,May,Swansea,214.8
2018,May,Newport,171.6
2018,May,Wrexham,137.4
2018,May,Flintshire,72.7
2018,May,Denbighshire,158.6
2018,May,Gwynedd,167.6
2018,May,Conwy,136.9
2018,May,Powys,135.8
2018,May,Carmarthenshire,242.6
2018,May,Pembrokeshire,147.8
2018,May,Ceredigion,173.6
2018,June,Cardiff,241.9
2018,June,Swansea,217.4
2018,June,Newport,236.6
2018,June,Wrexham,115.0
2018,June,Flintshire,187.1
2018,June,Denbighshire,94.1
2018,June,Gwynedd,182.9
2018,June,Conwy,233.5
2018,June,Powys,128.8
2018,June,Carmarthenshire,235.8
2018,June,Pembrokeshire,187.7
2018,June,Ceredigion,146.0
2018,July,Cardiff,78.5
2018,July,Swansea,93.6
2018,July,Newport,161.3
2018,July,Wrexham,233.9
2018,July,Flintshire,86.5
2018,July,Denbighshire,247.2
2018,July,Gwynedd,85.8
2018,July,Conwy,124.6
2018,July,Powys,104.1
2018,July,Carmarthenshire,192.2
2018,July,Pembrokeshire,109.7
2018,July,Ceredigion,104.1
2018,August,Cardiff,90.0
2018,August,Swansea,185.0
2018,August,Newport,84.1
2018,August,Wrexham,108.0
2018,August,Flintshire,196.9
2018,August,Denbighshire,117.1
2018,August,Gwynedd,112.6
2018,August,Conwy,144.5
2018,August,Powys,207.9
2018,August,Carmarthenshire,79.2
2018,August,Pembrokeshire,93.6
2018,August,Ceredigion,181.1
2018,September,Cardiff,233.3
2018,September,Swansea,226.3
2018,September,Newport,181.9
2018,September,Wrexham,181.2
2018,September,Flintshire,149.3
2018,September,Denbighshire,213.2
2018,September,Gwynedd,61.3
2018,September,Conwy,135.9
2018,September,Powys,103.2
2018,September,Carmarthenshire,150.7
2018,September,Pembrokeshire,129.9
2018,September,Ceredigion,202.3
2018,October,Cardiff,125.0
2018,October,Swansea,236.6
2018,October,Newport,53.3
2018,October,Wrexham,176.3
2018,October,Flintshire,79.6
2018,October,Denbighshire,216.7
2018,October,Gwynedd,171.2
2018,October,Conwy,201.1
2018,October,Powys,99.6
2018,October,Carmarthenshire,222.3
2018,October,Pembrokeshire,77.1
2018,October,Ceredigion,210.3
2018,November,Cardiff,178.9
2018,November,Swansea,200.4
2018,November,Newport,193.7
2018,November,Wrexham,104.2
2018,November,Flintshire,171.9
2018,November,Denbighshire,214.0
2018,November,Gwynedd,227.9
2018,November,Conwy,232.3
2018,November,Powys,203.2
2018,November,Carmarthenshire,91.6
2018,November,Pembrokeshire,113.2
2018,November,Ceredigion,241.4
2018,December,Cardiff,148.6
2018,December,Swansea,60.4
2018,December,Newport,180.8
2018,December,Wrexham,143.3
2018,December,Flintshire,233.9
2018,December,Denbighshire,87.2
2018,December,Gwynedd,65.6
2018,December,Conwy,136.0
2018,December,Powys,87.8
2018,December,Carmarthenshire,52.2
2018,December,Pembrokeshire,112.3
2018,December,Ceredigion,125.5
2019,January,Cardiff,94.7
2019,January,Swansea,220.8
2019,January,Newport,247.3
2019,January,Wrexham,89.7
2019,January,Flintshire,61.2
2019,January,Denbighshire,187.7
2019,January,Gwynedd,204.1
2019,January,Conwy,127.8
2019,January,Powys,76.8
2019,January,Carmarthenshire,248.7
2019,January,Pembrokeshire,100.5
2019,January,Ceredigion,89.9
2019,February,Cardiff,137.3
2019,February,Swansea,90.8
2019,February,Newport,70.7
2019,February,Wrexham,213.0
2019,February,Flintshire,170.3
2019,February,Denbighshire,55.7
2019,February,Gwynedd,90.4
2019,February,Conwy,232.4
2019,February,Powys,126.6
2019,February,Carmarthenshire,105.2
2019,February,Pembrokeshire,160.6
2019,February,Ceredigion,212.3
2019,March,Cardiff,120.6
2019,March,Swansea,165.2
2019,March,Newport,228.5
2019,March,Wrexham,157.6
2019,March,Flintshire,78.1
2019,March,Denbighshire,110.1
2019,March,Gwynedd,224.9
2019,March,Conwy,222.2
2019,March,Powys,161.4
2019,March,Carmarthenshire,239.9
2019,March,Pembrokeshire,113.0
2019,March,Ceredigion,86.1
2019,April,Cardiff,192.8
2019,April,Swansea,119.9
2019,April,Newport,174.3
2019,April,Wrexham,149.8
2019,April,Flintshire,161.9
2019,April,Denbighshire,140.8
2019,April,Gwynedd,85.0
2019,April,Conwy,94.4
2019,April,Powys,227.4
2019,April,Carmarthenshire,54.5
2019,April,Pembrokeshire,52.0
2019,April,Ceredigion,72.7
2019,May,Cardiff,176.2
2019,May,Swansea,120.2
2019,May,Newport,135.6
2019,May,Wrexham,215.6
2019,May,Flintshire,168.6
2019,May,Denbighshire,222.0
2019,May,Gwynedd,202.5
2019,May,Conwy,234.6
2019,May,Powys,234.1
2019,May,Carmarthenshire,158.5
2019,May,Pembrokeshire,189.2
2019,May,Ceredigion,52.3
2019,June,Cardiff,177.1
2019,June,Swansea,204.7
2019,June,Newport,246.2
2019,June,Wrexham,91.4
2019,June,Flintshire,90.8
2019,June,Denbighshire,180.8
2019,June,Gwynedd,51.6
2019,June,Conwy,82.2
2019,June,Powys,241.9
2019,June,Carmarthenshire,146.2
2019,June,Pembrokeshire,158.9
2019,June,Ceredigion,150.1
2019,July,Cardiff,145.5
2019,July,Swansea,125.4
2019,July,Newport,240.2
2019,July,Wrexham,246.1
2019,July,Flintshire,201.9
2019,July,Denbighshire,174.3
2019,July,Gwynedd,79.5
2019,July,Conwy,78.3
2019,July,Powys,57.2
2019,July,Carmarthenshire,167.3
2019,July,Pembrokeshire,143.2
2019,July,Ceredigion,127.4
2019,August,Cardiff,220.9
2019,August,Swansea,197.2
2019,August,Newport,172.0
2019,August,Wrexham,154.5
2019,August,Flintshire,148.6
2019,August,Denbighshire,141.6
2019,August,Gwynedd,149.5
2019,August,Conwy,83.1
2019,August,Powys,87.4
2019,August,Carmarthenshire,246.6
2019,August,Pembrokeshire,79.1
2019,August,Ceredigion,115.1
2019,September,Cardiff,77.2
2019,September,Swansea,62.1
2019,September,Newport,159.2
2019,September,Wrexham,140.8
2019,September,Flintshire,97.6
2019,September,Denbighshire,206.2
2019,September,Gwynedd,195.9
2019,September,Conwy,150.3
2019,September,Powys,126.1
2019,September,Carmarthenshire,107.6
2019,September,Pembrokeshire,106.8
2019,September,Ceredigion,243.9
2019,October,Cardiff,240.5
2019,October,Swansea,175.1
2019,October,Newport,207.8
2019,October,Wrexham,175.9
2019,October,Flintshire,102.6
2019,October,Denbighshire,121.1
2019,October,Gwynedd,166.8
2019,October,Conwy,145.2
2019,October,Powys,131.5
2019,October,Carmarthenshire,213.6
2019,October,Pembrokeshire,212.5
2019,October,Ceredigion,94.1
2019,November,Cardiff,155.0
2019,November,Swansea,147.3
2019,November,Newport,147.0
2019,November,Wrexham,200.9
2019,November,Flintshire,68.0
2019,November,Denbighshire,205.3
2019,November,Gwynedd,111.6
2019,November,Conwy,209.4
2019,November,Powys,241.4
2019,November,Carmarthenshire,158.9
2019,November,Pembrokeshire,68.3
2019,November,Ceredigion,114.1
2019,December,Cardiff,77.4
2019,December,Swansea,135.0
2019,December,Newport,146.1
2019,December,Wrexham,53.5
2019,December,Flintshire,124.5
2019,December,Denbighshire,121.2
2019,December,Gwynedd,209.4
2019,December,Conwy,72.2
2019,December,Powys,114.9
2019,December,Carmarthenshire,68.0
2019,December,Pembrokeshire,169.5
2019,December,Ceredigion,50.6
2020,January,Cardiff,178.8
2020,January,Swansea,89.0
2020,January,Newport,72.2
2020,January,Wrexham,172.4
2020,January,Flintshire,76.7
2020,January,Denbighshire,91.2
2020,January,Gwynedd,223.4
2020,January,Conwy,213.6
2020,January,Powys,79.0
2020,January,Carmarthenshire,184.3
2020,January,Pembrokeshire,99.1
2020,January,Ceredigion,193.6
2020,February,Cardiff,118.1
2020,February,Swansea,171.8
2020,February,Newport,62.3
2020,February,Wrexham,88.9
2020,February,Flintshire,220.3
2020,February,Denbighshire,177.6
2020,February,Gwynedd,133.0
2020,February,Conwy,237.9
2020,February,Powys,157.2
2020,February,Carmarthenshire,94.3
2020,February,Pembrokeshire,144.7
2020,February,Ceredigion,201.3
2020,March,Cardiff,54.5
2020,March,Swansea,74.4
2020,March,Newport,192.7
2020,March,Wrexham,90.5
2020,March,Flintshire,94.6
2020,March,Denbighshire,196.3
2020,March,Gwynedd,241.6
2020,March,Conwy,212.6
2020,March,Powys,158.0
2020,March,Carmarthenshire,168.6
2020,March,Pembrokeshire,196.9
2020,March,Ceredigion,227.8
2020,April,Cardiff,142.9
2020,April,Swansea,138.5
2020,April,Newport,98.1
2020,April,Wrexham,52.1
2020,April,Flintshire,154.2
2020,April,Denbighshire,77.0
2020,April,Gwynedd,186.5
2020,April,Conwy,67.4
2020,April,Powys,80.8
2020,April,Carmarthenshire,70.2
2020,April,Pembrokeshire,118.8
2020,April,Ceredigion,54.6
2020,May,Cardiff,62.2
2020,May,Swansea,104.7
2020,May,Newport,180.8
2020,May,Wrexham,118.1
2020,May,Flintshire,50.2
2020,May,Denbighshire,150.1
2020,May,Gwynedd,100.7
2020,May,Conwy,240.9
2020,May,Powys,169.1
2020,May,Carmarthenshire,245.6
2020,May,Pembrokeshire,206.7
2020,May,Ceredigion,86.2
2020,June,Cardiff,140.5
2020,June,Swansea,185.9
2020,June,Newport,87.4
2020,June,Wrexham,123.1
2020,June,Flintshire,89.2
2020,June,Denbighshire,179.5
2020,June,Gwynedd,246.6
2020,June,Conwy,141.2
2020,June,Powys,57.9
2020,June,Carmarthenshire,168.0
2020,June,Pembrokeshire,232.9
2020,June,Ceredigion,140.5
2020,July,Cardiff,210.7
2020,July,Swansea,246.3
2020,July,Newport,234.2
2020,July,Wrexham,216.9
2020,July,Flintshire,172.7
2020,July,Denbighshire,99.3
2020,July,Gwynedd,142.1
2020,July,Conwy,165.4
2020,July,Powys,54.0
2020,July,Carmarthenshire,195.6
2020,July,Pembrokeshire,91.5
2020,July,Ceredigion,230.4
2020,August,Cardiff,188.7
2020,August,Swansea,125.0
2020,August,Newport,236.2
2020,August,Wrexham,160.1
2020,August,Flintshire,212.1
2020,August,Denbighshire,62.3
2020,August,Gwynedd,122.3
2020,August,Conwy,53.3
2020,August,Powys,176.9
2020,August,Carmarthenshire,211.9
2020,August,Pembrokeshire,183.1
2020,August,Ceredigion,80.0
2020,September,Cardiff,237.6
2020,September,Swansea,114.5
2020,September,Newport,93.8
2020,September,Wrexham,114.6
2020,September,Flintshire,55.3
2020,September,Denbighshire,232.9
2020,September,Gwynedd,222.1
2020,September,Conwy,226.4
2020,September,Powys,141.1
2020,September,Carmarthenshire,114.0
2020,September,Pembrokeshire,91.1
2020,September,Ceredigion,215.9
2020,October,Cardiff,103.9
2020,October,Swansea,159.7
2020,October,Newport,221.5
2020,October,Wrexham,144.3
2020,October,Flintshire,64.1
2020,October,Denbighshire,100.9
2020,October,Gwynedd,191.9
2020,October,Conwy,215.7
2020,October,Powys,80.7
2020,October,Carmarthenshire,209.7
2020,October,Pembrokeshire,224.9
2020,October,Ceredigion,52.9
2020,November,Cardiff,147.6
2020,November,Swansea,230.7
2020,November,Newport,165.6
2020,November,Wrexham,120.1
2020,November,Flintshire,134.5
2020,November,Denbighshire,204.9
2020,November,Gwynedd,173.5
2020,November,Conwy,130.5
2020,November,Powys,78.8
2020,November,Carmarthenshire,115.5
2020,November,Pembrokeshire,213.2
2020,November,Ceredigion,158.0
2020,December,Cardiff,144.8
2020,December,Swansea,97.5
2020,December,Newport,205.9
2020,December,Wrexham,118.4
2020,December,Flintshire,179.5
2020,December,Denbighshire,203.5
2020,December,Gwynedd,76.8
2020,December,Conwy,223.6
2020,December,Powys,91.4
2020,December,Carmarthenshire,166.3
2020,December,Pembrokeshire,210.8
2020,December,Ceredigion,185.5
2021,January,Cardiff,203.6
2021,January,Swansea,184.5
2021,January,Newport,213.5
2021,January,Wrexham,117.1
2021,January,Flintshire,213.5
2021,January,Denbighshire,242.2
2021,January,Gwynedd,155.5
2021,January,Conwy,182.9
2021,January,Powys,171.5
2021,January,Carmarthenshire,167.8
2021,January,Pembrokeshire,183.0
2021,January,Ceredigion,231.7
2021,February,Cardiff,57.3
2021,February,Swansea,239.6
2021,February,Newport,109.7
2021,February,Wrexham,90.2
2021,February,Flintshire,185.5
2021,February,Denbighshire,141.6
2021,February,Gwynedd,96.1
2021,February,Conwy,245.1
2021,February,Powys,106.2
2021,February,Carmarthenshire,212.4
2021,February,Pembrokeshire,126.2
2021,February,Ceredigion,77.7
2021,March,Cardiff,171.5
2021,March,Swansea,60.9
2021,March,Newport,222.2
2021,March,Wrexham,151.1
2021,March,Flintshire,195.3
2021,March,Denbighshire,175.2
2021,March,Gwynedd,60.1
2021,March,Conwy,234.8
2021,March,Powys,115.0
2021,March,Carmarthenshire,199.0
2021,March,Pembrokeshire,149.3
2021,March,Ceredigion,76.3
2021,April,Cardiff,161.6
2021,April,Swansea,133.2
2021,April,Newport,125.1
2021,April,Wrexham,128.6
2021,April,Flintshire,120.3
2021,April,Denbighshire,66.0
2021,April,Gwynedd,236.3
2021,April,Conwy,97.2
2021,April,Powys,163.9
2021,April,Carmarthenshire,184.6
2021,April,Pembrokeshire,89.0
2021,April,Ceredigion,119.8
2021,May,Cardiff,61.4
2021,May,Swansea,167.2
2021,May,Newport,100.3
